Trade,,Mod. Following,MMLD FXO_MF_Expiry Date Premium Reclass,Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_MF_Expiry Date Premium Reclass,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,SendToEMAS,Yes,,Credit,MMLD FXO_MF_Expiry Date Premium Reclass|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,MMLD FXO_MF_Expiry Date Premium Reclass|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_MF_Expiry Date Premium Reclass_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_MF_Expiry Date Premium Reclass_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,,,,Credit,MMLD FXO_MF_Expiry Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,MMLD FXO_MF_Expiry Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD FXO_MF_Expiry Date Premium Reclass_FCY_IDR,Accounting Instrument Expiry Date,,End of Day,,MMLD FXO_MF_Expiry Date Premium Reclass_FCY_IDR,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,FxRevalAICat,MoneyFlow,,Credit,MMLD FXO_MF_Expiry Date Premium Reclass_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICatFeeType,Payment Premium,,Debit,MMLD FXO_MF_Expiry Date Premium Reclass_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,MMLD Rate_MF_Expiry Date Premium Reclass,Accounting Instrument Expiry Date,,End of Day,,MMLD Rate_MF_Expiry Date Premium Reclass,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,SendToEMAS,Yes,,Debit,MMLD Rate_MF_Expiry Date Premium Reclass|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Expiry Date Premium Reclass|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD Rate_MF_Expiry Date Premium Reclass_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,MMLD Rate_MF_Expiry Date Premium Reclass_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,,,,Debit,MMLD Rate_MF_Expiry Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,MMLD Rate_MF_Expiry Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,MMLD Rate_MF_Expiry Date Premium Reclass_FCY_IDR,Accounting Instrument Expiry Date,,End of Day,,MMLD Rate_MF_Expiry Date Premium Reclass_FCY_IDR,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Debit,MMLD Rate_MF_Expiry Date Premium Reclass_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,MMLD Rate_MF_Expiry Date Premium Reclass_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,Bond Forward_MF_OffBalance Trade Date Fwd Premium,Accounting Moneyflow Trade Time,,End of Day,,Bond Forward_MF_OffBalance Trade Date Fwd Premium,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,Bond Forward_MF_OffBalance Trade Date Fwd Premium|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond Forward_MF_OffBalance Trade Date Fwd Premium|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond Forward_MF_OffBalance Expiry Date Fwd Premium,Accounting Instrument Expiry Date,,End of Day,,Bond Forward_MF_OffBalance Expiry Date Fwd Premium,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,SendToEMAS,Yes,,Debit,Bond Forward_MF_OffBalance Expiry Date Fwd Premium|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond Forward_MF_OffBalance Expiry Date Fwd Premium|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond Forward_TD_OffBalance Trade Date Contract Value,Accounting Trade Time,,End of Day,,Bond Forward_TD_OffBalance Trade Date Contract Value,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond Forward_TD_OffBalance Trade Date Contract Value|PSAK Bond Future Contract Value|Debit,PSAK Bond Future Contract Value,,
,,,,,,,,,,,,,,,,,Credit,Bond Forward_TD_OffBalance Trade Date Contract Value|PSAK Bond Future Contract Value|Credit,PSAK Bond Future Contract Value,,
Trade,,Mod. Following,Bond Forward_TD_OffBalance Expiry Date Contract Value,Accounting Instrument Expiry Date,,End of Day,,Bond Forward_TD_OffBalance Expiry Date Contract Value,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond Forward_TD_OffBalance Expiry Date Contract Value|PSAK Bond Future Contract Value|Debit,PSAK Bond Future Contract Value,,
,,,,,,,,,,,,,,,,,Credit,Bond Forward_TD_OffBalance Expiry Date Contract Value|PSAK Bond Future Contract Value|Credit,PSAK Bond Future Contract Value,,
Trade,,Mod. Following,Bond Option_TD_OffBalance Trade Date Contract Value,Accounting Trade Time,,End of Day,,Bond Option_TD_OffBalance Trade Date Contract Value,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond Option_TD_OffBalance Trade Date Contract Value|PSAK Bond Option Contract Value|Debit,PSAK Bond Option Contract Value,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_TD_OffBalance Trade Date Contract Value|PSAK Bond Option Contract Value|Credit,PSAK Bond Option Contract Value,,
Trade,,Mod. Following,Bond Option_TD_OffBalance Trade Date,Accounting Trade Time,,End of Day,,Bond Option_TD_OffBalance Trade Date,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond Option_TD_OffBalance Trade Date|PSAK Bond Option Contract Value|Debit,PSAK Bond Option Contract Value,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_TD_OffBalance Trade Date|PSAK Bond Option Contract Value|Credit,PSAK Bond Option Contract Value,,
Trade,,Mod. Following,Bond Option_TD_OffBalance Expiry Date Contract Value,Accounting Instrument Expiry Date,,End of Day,,Bond Option_TD_OffBalance Expiry Date Contract Value,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond Option_TD_OffBalance Expiry Date Contract Value|PSAK Bond Option Contract Value|Debit,PSAK Bond Option Contract Value,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_TD_OffBalance Expiry Date Contract Value|PSAK Bond Option Contract Value|Credit,PSAK Bond Option Contract Value,,
Trade,,Mod. Following,Bond Option_TD_OffBalance Expiry Date,Accounting Instrument Expiry Date,,End of Day,,Bond Option_TD_OffBalance Expiry Date,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond Option_TD_OffBalance Expiry Date|PSAK Bond Option Contract Value|Debit,PSAK Bond Option Contract Value,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_TD_OffBalance Expiry Date|PSAK Bond Option Contract Value|Credit,PSAK Bond Option Contract Value,,
Trade,Yes,Mod. Following,,Accounting Settlement Value Day,,End of Day,,Value Day Interoffice (EOD),Daily,Reverse and Replace,Accounting Settlement Value Day,,Settlement,SendToEMAS,Yes,,Debit,Value Day Interoffice (EOD)|Amount|Debit,Amount,,
,,,,,,,,,,,,,,,,,Credit,Value Day Interoffice (EOD)|Amount|Credit,Amount,,
Contract Trade Number,,Mod. Following,PSAK_TD_Total Amortization Maturity Date_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,PSAK_TD_Total Amortization Maturity Date_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,,,,Credit,PSAK_TD_Total Amortization Maturity Date_FCY (NI)|Portfolio Realized Deprec Profit and Loss|Credit,Portfolio Realized Deprec Profit and Loss,,
,,,,,,,,,,,,,,,,,Debit,PSAK_TD_Total Amortization Maturity Date_FCY (NI)|Portfolio Realized Deprec Profit and Loss|Debit,Portfolio Realized Deprec Profit and Loss,,
Contract Trade Number,,Mod. Following,PSAK_TD_Total Amortization Maturity Date_FCY_ACCY,Accounting Instrument Expiry Date,,End of Day,,PSAK_TD_Total Amortization Maturity Date_FCY_ACCY,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,PSAK_TD_Total Amortization Maturity Date_FCY_ACCY|PSAK Realized Depreciation Acc Curr|Debit,PSAK Realized Depreciation Acc Curr,,
,,,,,,,,,,,,,,,,,Credit,PSAK_TD_Total Amortization Maturity Date_FCY_ACCY|PSAK Realized Depreciation Acc Curr|Credit,PSAK Realized Depreciation Acc Curr,,
Contract Trade Number,,Mod. Following,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,,,,Credit,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY (NI)|Portfolio Profit and Loss Remaining Premium Discount|Credit,Portfolio Profit and Loss Remaining Premium Discount,,
,,,,,,,,,,,,,,,,,Debit,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY (NI)|Portfolio Profit and Loss Remaining Premium Discount|Debit,Portfolio Profit and Loss Remaining Premium Discount,,
Contract Trade Number,,Mod. Following,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY_ACCY,Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY_ACCY,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY_ACCY|Portfolio Profit and Loss Remaining Premium Discount|Debit,Portfolio Profit and Loss Remaining Premium Discount,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Premium/Discount FVTPL Maturity Date_FCY_ACCY|Portfolio Profit and Loss Remaining Premium Discount|Credit,Portfolio Profit and Loss Remaining Premium Discount,,
Contract Trade Number,,Mod. Following,Bond Issue_TD_ Attributable Fee Maturity Date_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,Bond Issue_TD_ Attributable Fee Maturity Date_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,,,,Credit,Bond Issue_TD_ Attributable Fee Maturity Date_FCY (NI)|Portfolio Realized Deprec P/L split by Attributable Fee|Credit,Portfolio Realized Deprec P/L split by Attributable Fee,,
,,,,,,,,,,,,,,,,,Debit,Bond Issue_TD_ Attributable Fee Maturity Date_FCY (NI)|Portfolio Realized Deprec P/L split by Attributable Fee|Debit,Portfolio Realized Deprec P/L split by Attributable Fee,,
Contract Trade Number,,Mod. Following,Bond Issue_TD_ Attributable Fee Maturity Date_FCY_ACCY,Accounting Instrument Expiry Date,,End of Day,,Bond Issue_TD_ Attributable Fee Maturity Date_FCY_ACCY,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,FxRevalAICat,Instrument,,Debit,Bond Issue_TD_ Attributable Fee Maturity Date_FCY_ACCY|Portfolio Realized Deprec P/L split by Attributable Fee|Debit,Portfolio Realized Deprec P/L split by Attributable Fee,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,Bond Issue_TD_ Attributable Fee Maturity Date_FCY_ACCY|Portfolio Realized Deprec P/L split by Attributable Fee|Credit,Portfolio Realized Deprec P/L split by Attributable Fee,,
Contract Trade Number,,Mod. Following,Bond Issue_TD_Premium/Discount Maturity Date_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,Bond Issue_TD_Premium/Discount Maturity Date_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,,,,Credit,Bond Issue_TD_Premium/Discount Maturity Date_FCY (NI)|Portfolio Realized Deprec P/L split by Price|Credit,Portfolio Realized Deprec P/L split by Price,,
,,,,,,,,,,,,,,,,,Debit,Bond Issue_TD_Premium/Discount Maturity Date_FCY (NI)|Portfolio Realized Deprec P/L split by Price|Debit,Portfolio Realized Deprec P/L split by Price,,
Contract Trade Number,,Mod. Following,Bond Issue_TD_Premium/Discount Maturity Date_FCY_ACCY,Accounting Instrument Expiry Date,,End of Day,,Bond Issue_TD_Premium/Discount Maturity Date_FCY_ACCY,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,FxRevalAICat,Instrument,,Debit,Bond Issue_TD_Premium/Discount Maturity Date_FCY_ACCY|Portfolio Realized Deprec P/L split by Price|Debit,Portfolio Realized Deprec P/L split by Price,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,Bond Issue_TD_Premium/Discount Maturity Date_FCY_ACCY|Portfolio Realized Deprec P/L split by Price|Credit,Portfolio Realized Deprec P/L split by Price,,
Trade,,Mod. Following,Bond_TD_Sell Date Traded Interest,Accounting Value Day,,End of Day,,Bond_TD_Sell Date Traded Interest,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Credit,Bond_TD_Sell Date Traded Interest|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Debit,Bond_TD_Sell Date Traded Interest|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
Trade,,Mod. Following,Bond_TD_Sell Date Traded Interest_FCY (NI),Accounting Value Day,,End of Day,,Bond_TD_Sell Date Traded Interest_FCY (NI),Daily,Reverse and Replace,Accounting Value Day,,Trade,,,,Debit,Bond_TD_Sell Date Traded Interest_FCY (NI)|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Sell Date Traded Interest_FCY (NI)|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
Trade,,Mod. Following,Bond_TD_Sell Date Traded Interest_FCY_ACCY,Accounting Value Day,,End of Day,,Bond_TD_Sell Date Traded Interest_FCY_ACCY,Daily,Reverse and Replace,Accounting Value Day,,Trade,FxRevalAICat,Instrument,,Credit,Bond_TD_Sell Date Traded Interest_FCY_ACCY|Accounting Accrued Interest FI|Credit,Accounting Accrued Interest FI,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Debit,Bond_TD_Sell Date Traded Interest_FCY_ACCY|Accounting Accrued Interest FI|Debit,Accounting Accrued Interest FI,,
Contract Trade Number,,Mod. Following,,Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Maturity Pay Date RPL,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,Bond_TD_Maturity Pay Date RPL|Portfolio Pure Realized Profit and Loss|Debit,Portfolio Pure Realized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Maturity Pay Date RPL|Portfolio Pure Realized Profit and Loss|Credit,Portfolio Pure Realized Profit and Loss,,
Contract Trade Number,,Mod. Following,,Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Maturity Pay Date RPL_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,,,,Debit,Bond_TD_Maturity Pay Date RPL_FCY (NI)|Portfolio Pure Realized Profit and Loss|Debit,Portfolio Pure Realized Profit and Loss,,
,,,,,,,,,,,,,,,,,Credit,Bond_TD_Maturity Pay Date RPL_FCY (NI)|Portfolio Pure Realized Profit and Loss|Credit,Portfolio Pure Realized Profit and Loss,,
Contract Trade Number,,Mod. Following,,Accounting Instrument Expiry Date,,End of Day,,Bond_TD_Maturity Pay Date RPL_FCY_ACCY,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,FxRevalAICat,Instrument,,Debit,Bond_TD_Maturity Pay Date RPL_FCY_ACCY|PSAK Pure RPL Acc Curr|Debit,PSAK Pure RPL Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,Credit,Bond_TD_Maturity Pay Date RPL_FCY_ACCY|PSAK Pure RPL Acc Curr|Credit,PSAK Pure RPL Acc Curr,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay,Accrual End Date Minus One,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay,Daily,Reverse and Replace,Accrual End Date Minus One,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_Pay,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_Pay,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,CCS/IRS_MF_Daily Interest Accrued_Pay|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_MF_Daily Interest Accrued_Pay|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY (NI),Accrual End Date Minus One,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY (NI),Daily,Reverse and Replace,Accrual End Date Minus One,,Money Flow,,,,Credit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY_IDR,Accrual End Date Minus One,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY_IDR,Daily,Reverse and Replace,Accrual End Date Minus One,,Money Flow,SendToEMAS,Yes,,Credit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Pay_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICatFeeType,FixedFloat,,,,,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Credit,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,CCS/IRS_MF_Daily Interest Accrued_Pay_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICatFeeType,FixedFloat,,,,,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY_IDR,Accrual End Date Minus One,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY_IDR,Daily,Reverse and Replace,Accrual End Date Minus One,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Debit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec,Accrual End Date Minus One,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec,Daily,Reverse and Replace,Accrual End Date Minus One,,Money Flow,SendToEMAS,Yes,,Credit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY (NI),Accrual End Date Minus One,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY (NI),Daily,Reverse and Replace,Accrual End Date Minus One,,Money Flow,,,,Debit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Daily Interest Accrued_End Minus One_Rec_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_Rec,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_Rec,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,CCS/IRS_MF_Daily Interest Accrued_Rec|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Daily Interest Accrued_Rec|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Credit,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Debit,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,CCS/IRS_MF_Daily Interest Accrued_Rec_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
